block_size,m,num_elements,cpu_insert,cpu_query,gpu_insert,gpu_query
128,4194304,65536,0.0492385,0.011412,0.00117565,0.000556121
128,4194304,262144,0.191906,0.064506,0.0046013,0.00321524
128,4194304,1048576,0.778653,0.492736,0.0182884,0.0151791
128,16777216,1024,0.00090509,0.000184187,0.000107455,2.1601e-05
128,16777216,4096,0.00317339,0.000628455,0.000180792,5.9195e-05
128,16777216,16384,0.0124127,0.00272278,0.000530203,0.000116098
128,16777216,65536,0.0512831,0.0107719,0.00192856,0.000412461
128,16777216,262144,0.201279,0.0475233,0.00745572,0.00218585
128,16777216,1048576,0.753948,0.248812,0.0296128,0.0130353
256,16384,1024,0.000683672,0.000215266,6.2694e-05,5.2157e-05
256,16384,4096,0.00262711,0.00185529,8.2164e-05,8.7284e-05
256,16384,16384,0.0108733,0.0111233,0.0002752,0.000270699
256,16384,65536,0.044994,0.0447471,0.000971342,0.000966757
256,16384,262144,0.181323,0.18096,0.00375841,0.00376505
256,16384,1048576,0.724715,0.727991,0.0149209,0.0149838
256,65536,1024,0.00071722,0.000172402,6.2297e-05,5.1522e-05
256,65536,4096,0.00274606,0.000870504,8.2664e-05,7.4906e-05
256,65536,16384,0.0114193,0.0071465,0.000307926,0.000266993
256,65536,65536,0.0447654,0.0451866,0.000972574,0.000974622
256,65536,262144,0.178521,0.181588,0.00375713,0.00378925
256,65536,1048576,0.725524,0.729285,0.0162116,0.0162765
256,262144,1024,0.000716704,0.000191153,6.2238e-05,5.0342e-05
256,262144,4096,0.00266417,0.000675094,8.3311e-05,6.1218e-05
256,262144,16384,0.011483,0.00344189,0.000270622,0.000223897
256,262144,65536,0.0449718,0.028809,0.000973445,0.000963561
256,262144,262144,0.181818,0.180385,0.00375525,0.00376748
256,262144,1048576,0.726051,0.727299,0.0149042,0.0149783
256,1048576,1024,0.000656371,0.000137787,5.8463e-05,2.7725e-05
256,1048576,4096,0.00307207,0.000646279,8.1856e-05,5.373e-05
256,1048576,16384,0.0112737,0.00273317,0.000267639,0.000161524
256,1048576,65536,0.0457502,0.015149,0.000966967,0.000813894
256,1048576,262144,0.179133,0.11302,0.00377219,0.00369948
256,1048576,1048576,0.732784,0.723189,0.0149011,0.0149809
256,4194304,1024,0.000675393,0.00014064,6.3179e-05,3.2754e-05
256,4194304,4096,0.00279648,0.000706183,0.000105623,4.3124e-05
256,4194304,16384,0.0119384,0.00270419,0.000335419,0.000127204
256,4194304,65536,0.0453501,0.0116809,0.00119027,0.000581068
256,4194304,262144,0.18824,0.061295,0.00463774,0.00324815
