block_size,m,num_elements,cpu_insert,cpu_query,gpu_insert,gpu_query
512,262144,1024,0.000653534,0.00014381,4.1553e-05,3.7255e-05
512,262144,4096,0.0029591,0.000655876,9.0652e-05,6.1399e-05
512,262144,16384,0.0110189,0.00394317,0.000253137,0.000218405
512,262144,65536,0.0449086,0.0279626,0.000925816,0.000896264
512,262144,262144,0.182254,0.178861,0.00360176,0.00353424
512,262144,1048576,0.722062,0.726898,0.0144692,0.0140834
512,1048576,1024,0.000672041,0.000146768,4.1481e-05,3.553e-05
512,1048576,4096,0.00285387,0.000590722,8.1669e-05,5.3437e-05
512,1048576,16384,0.0111357,0.00292284,0.000255184,0.000168196
512,1048576,65536,0.0457217,0.0147387,0.000922121,0.000780778
512,1048576,262144,0.180959,0.114121,0.00359743,0.00347707
512,1048576,1048576,0.727769,0.726433,0.0143348,0.014106
512,4194304,1024,0.000787348,0.000146877,4.8987e-05,2.4391e-05
512,4194304,4096,0.0029961,0.000581699,9.0834e-05,4.1674e-05
512,4194304,16384,0.0115251,0.00239633,0.000262634,0.000124713
512,4194304,65536,0.0458315,0.0112249,0.000942412,0.000573167
512,4194304,262144,0.18664,0.0622631,0.00364786,0.00302555
512,4194304,1048576,0.740377,0.468411,0.0144304,0.0138226
512,16777216,1024,0.000778225,0.000158353,8.9823e-05,3.2387e-05
512,16777216,4096,0.00281688,0.000795968,0.000171946,3.7576e-05
512,16777216,16384,0.0116951,0.00261955,0.000517996,0.000127156
512,16777216,65536,0.0481287,0.0105446,0.00188109,0.000437084
512,16777216,262144,0.190763,0.0460276,0.00735297,0.00218237
512,16777216,1048576,0.765235,0.251073,0.0290661,0.0126639
1024,16384,1024,0.000750395,0.000310251,5.9609e-05,6.3963e-05
1024,16384,4096,0.00266791,0.00164102,0.000104758,0.000142625
1024,16384,16384,0.0109586,0.0107427,0.000277824,0.000277587
1024,16384,65536,0.0451131,0.0451873,0.000990493,0.000989174
1024,16384,262144,0.181647,0.18042,0.00380262,0.00376016
1024,16384,1048576,0.726583,0.716918,0.0150017,0.014877
1024,65536,1024,0.000665581,0.000155579,5.7713e-05,4.7978e-05
1024,65536,4096,0.00287294,0.000938927,0.000113318,9.0774e-05
1024,65536,16384,0.0109689,0.00695974,0.000276289,0.000274122
1024,65536,65536,0.044718,0.0443594,0.000988489,0.000984558
1024,65536,262144,0.179156,0.177427,0.00380184,0.00375088
1024,65536,1048576,0.710761,0.716244,0.0150258,0.0148878
1024,262144,1024,0.000659417,0.000145751,5.7812e-05,4.1993e-05
1024,262144,4096,0.00273048,0.000642038,0.00010424,8.2697e-05
1024,262144,16384,0.0114345,0.00382346,0.000281173,0.000241294
1024,262144,65536,0.0447358,0.0279533,0.000984702,0.000969431
1024,262144,262144,0.178683,0.177144,0.00379549,0.00377049
1024,262144,1048576,0.717301,0.714723,0.015068,0.0148826
1024,1048576,1024,0.000671867,0.00014116,5.8347e-05,3.5782e-05
1024,1048576,4096,0.00292946,0.00058945,0.000105516,5.7292e-05
1024,1048576,16384,0.0108293,0.00291361,0.000287209,0.000190957
1024,1048576,65536,0.0447318,0.0154342,0.000988075,0.000858224
1024,1048576,262144,0.179224,0.113365,0.00380219,0.0036823
1024,1048576,1048576,0.731427,0.723507,0.0150587,0.0149103
1024,4194304,1024,0.000806741,0.000150991,6.6248e-05,3.6357e-05
1024,4194304,4096,0.00300984,0.000586002,0.00011422,5.6762e-05
1024,4194304,16384,0.0121332,0.00266202,0.000295107,0.00015144
1024,4194304,65536,0.0473765,0.0114032,0.00100627,0.000648254
1024,4194304,262144,0.186521,0.0624237,0.00388565,0.00340217
1024,4194304,1048576,0.740604,0.473331,0.015362,0.0147847
1024,16777216,1024,0.000887994,0.000180982,0.000105031,2.6628e-05
1024,16777216,4096,0.00311731,0.000595141,0.000174642,4.3495e-05
1024,16777216,16384,0.0125559,0.00257319,0.000541765,0.000136818
1024,16777216,65536,0.0488197,0.010001,0.0019748,0.000528784
1024,16777216,262144,0.193264,0.0464312,0.00778048,0.00248277
1024,16777216,1048576,0.770927,0.256242,0.0308066,0.01376
