block_size,m,num_elements,cpu_insert,cpu_query,gpu_insert,gpu_query
32,16777216,1048576,0.747255,0.244191,0.0292052,0.0157097
64,16384,1024,0.000719156,0.000232683,6.3972e-05,4.9901e-05
64,16384,4096,0.00273903,0.00180286,8.7486e-05,7.2772e-05
64,16384,16384,0.0108293,0.0107706,0.000261739,0.000255747
64,16384,65536,0.0433934,0.0459016,0.00092651,0.000942438
64,16384,262144,0.177794,0.178578,0.00361445,0.00365119
64,16384,1048576,0.752926,0.760785,0.0143602,0.0145164
64,65536,1024,0.000739572,0.000203515,6.407e-05,4.5163e-05
64,65536,4096,0.00310759,0.000915861,8.1328e-05,6.7445e-05
64,65536,16384,0.0118823,0.00747435,0.000254193,0.000252316
64,65536,65536,0.0468346,0.0472308,0.000926978,0.000937044
64,65536,262144,0.174276,0.179986,0.00361486,0.00365753
64,65536,1048576,0.87835,0.791666,0.0143743,0.0145358
64,262144,1024,0.000760617,0.000142983,5.8974e-05,3.5178e-05
64,262144,4096,0.00313321,0.000610805,8.0915e-05,6.1678e-05
64,262144,16384,0.0122627,0.0039966,0.000261559,0.000221439
64,262144,65536,0.0504041,0.0309257,0.000934856,0.000926322
64,262144,262144,0.187185,0.205614,0.00361679,0.00365195
64,262144,1048576,0.796484,0.745275,0.0143679,0.0145103
64,1048576,1024,0.000645253,0.000212835,5.0931e-05,2.7855e-05
64,1048576,4096,0.00309267,0.000581053,7.3246e-05,5.0611e-05
64,1048576,16384,0.0116015,0.00273639,0.000254298,0.000156884
64,1048576,65536,0.0471589,0.0152273,0.00092586,0.000797497
64,1048576,262144,0.184614,0.116364,0.00361644,0.00357879
64,1048576,1048576,0.847163,1.08689,0.0143639,0.014506
64,4194304,1024,0.000841611,0.000181568,6.9104e-05,3.5239e-05
64,4194304,4096,0.00323897,0.000705067,0.000100725,5.4964e-05
64,4194304,16384,0.0129735,0.00281508,0.000318659,0.000119438
64,4194304,65536,0.0487405,0.0117213,0.0011643,0.000534317
64,4194304,262144,0.184476,0.0616885,0.00449478,0.00310679
64,4194304,1048576,0.733136,0.467782,0.0188862,0.0161674
64,16777216,1024,0.00087787,0.000176719,0.000109643,2.2614e-05
64,16777216,4096,0.00309606,0.00060445,0.000179394,4.3515e-05
64,16777216,16384,0.0125659,0.0024,0.000536262,0.000117367
