block_size,m,num_elements,cpu_insert,cpu_query,gpu_insert,gpu_query
512,65536,4096,0.00263766,0.000860566,7.7387e-05,7.2181e-05
512,65536,16384,0.0111912,0.00696403,0.000259149,0.000259058
512,65536,65536,0.0441215,0.0440525,0.000950525,0.000974319
512,65536,262144,0.180456,0.179834,0.00367917,0.00378208
512,65536,1048576,0.715928,0.719265,0.0146102,0.0150611
512,262144,1024,0.000653534,0.00014381,5.4422e-05,5.556e-05
512,262144,4096,0.0029591,0.000655876,8.8569e-05,6.1763e-05
512,262144,16384,0.0110189,0.00394317,0.000282065,0.000244713
512,262144,65536,0.0449086,0.0279626,0.0010099,0.000993309
512,262144,262144,0.182254,0.178861,0.0039472,0.00391518
512,262144,1048576,0.722062,0.726898,0.0156547,0.0155538
1024,16384,1024,0.000750395,0.000310251,6.0194e-05,5.6936e-05
1024,16384,4096,0.00266791,0.00164102,9.6592e-05,0.000100452
1024,16384,16384,0.0109586,0.0107427,0.000276648,0.000280805
1024,16384,65536,0.0451131,0.0451873,0.000960844,0.000998724
1024,16384,262144,0.181647,0.18042,0.00369959,0.00383688
1024,16384,1048576,0.726583,0.716918,0.0146499,0.0151512
1024,65536,1024,0.000665581,0.000155579,5.6731e-05,5.1168e-05
1024,65536,4096,0.00287294,0.000938927,9.7533e-05,8.5531e-05
1024,65536,16384,0.0109689,0.00695974,0.000278116,0.000278158
1024,65536,65536,0.044718,0.0443594,0.000969303,0.000998839
1024,65536,262144,0.179156,0.177427,0.00373139,0.00383159
1024,65536,1048576,0.710761,0.716244,0.014787,0.0151874
1024,262144,1024,0.000659417,0.000145751,5.8324e-05,4.5313e-05
1024,262144,4096,0.00273048,0.000642038,0.00010134,7.8773e-05
1024,262144,16384,0.0114345,0.00382346,0.000284473,0.000250881
1024,262144,65536,0.0447358,0.0279533,0.000994493,0.000983578
1024,262144,262144,0.178683,0.177144,0.00383048,0.00386548
1024,262144,1048576,0.717301,0.714723,0.0151648,0.0153491
